fips,date,cases,deaths
25027,88,291,6
26099,88,534,17
26125,88,1018,31
26163,88,2316,46
29189,88,313,2
32003,88,528,14
34003,88,1838,35
34013,88,1086,20
34017,88,771,6
34023,88,808,14
34025,88,781,10
34027,88,442,12
34029,88,624,9
34031,88,608,7
34035,88,258,8
34039,88,742,10
36027,88,262,2
36029,88,354,6
36055,88,202,5
36059,88,5537,35
36071,88,1101,3
36087,88,1896,8
36103,88,4138,37
36119,88,7875,10
37119,88,299,0
39035,88,370,3
39049,88,222,2
42003,88,219,2
42017,88,216,1
42045,88,226,4
42091,88,411,5
42101,88,709,5
47037,88,376,2
47157,88,275,0
48113,88,439,9
48201,88,445,3
49035,88,276,0
53033,88,2079,138
53053,88,282,5
53061,88,912,23
55079,88,541,9
01073,89,246,0
04013,89,546,5
06001,89,291,6
06037,89,2136,37
06059,89,431,4
06073,89,519,7
06075,89,343,5
06081,89,277,6
06085,89,646,26
08005,89,241,3
08031,89,408,5
08041,89,214,11
08059,89,213,5
09001,89,1245,21
09003,89,276,2
09009,89,280,6
11001,89,342,5
12011,89,1012,11
12057,89,225,2
12086,89,1471,3
12095,89,267,4
12099,89,382,7
13067,89,228,9
13089,89,273,3
13095,89,247,17
13121,89,425,12
17031,89,3445,40
17043,89,274,7
17097,89,300,3
18097,89,677,11
22017,89,219,5
22051,89,761,28
22071,89,1350,73
24031,89,301,1
24033,89,247,3
25005,89,208,1
25009,89,570,5
25013,89,201,5
25017,89,981,7
25021,89,548,10
25023,89,325,0
25025,89,940,5
25027,89,337,6
26099,89,620,20
26125,89,1170,34
26161,89,231,5
26163,89,2704,56
29189,89,336,2
32003,89,528,14
34003,89,2169,35
34013,89,1227,20
34017,89,974,6
34021,89,202,0
34023,89,938,14
34025,89,870,10
34027,89,566,12
34029,89,759,9
34031,89,831,7
34035,89,295,8
34039,89,896,10
36001,89,205,1
36027,89,320,2
36029,89,380,6
36055,89,219,6
36059,89,6445,39
36071,89,1247,3
36087,89,2209,8
36103,89,5023,40
36119,89,8519,10
37119,89,336,1
39035,89,449,4
39049,89,247,2
42003,89,265,2
42017,89,249,3
42045,89,276,4
42091,89,488,5
42101,89,865,5
47037,89,394,2
47157,89,362,1
48113,89,443,9
48201,89,526,4
49035,89,324,0
53033,89,2163,146
53053,89,318,6
53061,89,1067,23
55079,89,565,9
01073,90,257,0
04013,90,690,5
06001,90,304,7
06037,90,2474,44
06059,90,464,4
06065,90,291,9
06067,90,224,7
06073,90,603,7
06075,90,374,6
06081,90,309,6
06085,90,848,29
08005,90,308,0
08031,90,465,6
08037,90,213,4
08041,90,245,11
08059,90,253,5
08123,90,215,10
09001,90,1445,21
09003,90,330,3
09009,90,373,6
11001,90,401,9
12011,90,1137,12
12057,90,272,2
12086,90,1700,4
12095,90,299,4
12099,90,462,10
13067,90,250,11
13089,90,294,3
13095,90,278,18
13121,90,503,16
17031,90,3727,44
17043,90,320,8
17097,90,343,5
17197,90,224,6
18097,90,805,13
22017,90,222,5
22051,90,838,37
22071,90,1480,86
24031,90,341,1
24033,90,294,6
25005,90,263,2
25009,90,653,7
25013,90,255,5
25017,90,1141,9
25021,90,628,11
25023,90,380,0
25025,90,1115,7
25027,90,390,6
26099,90,728,27
26125,90,1391,59
26161,90,266,6
26163,90,3195,83
29189,90,366,2
32003,90,753,15
34003,90,2482,41
34013,90,1564,36
34017,90,1314,11
34021,90,249,0
34023,90,1123,20
34025,90,1030,15
34027,90,720,13
34029,90,874,12
34031,90,1091,9
34035,90,349,14
34039,90,1213,15
36001,90,217,1
36027,90,392,3
36029,90,443,8
36055,90,242,6
36059,90,7344,48
36071,90,1435,3
36087,90,2511,8
36103,90,5791,44
36111,90,207,1
36119,90,9326,19
37119,90,382,1
39035,90,493,4
39049,90,281,2
42003,90,290,2
42017,90,249,3
42045,90,303,4
42077,90,231,3
42091,90,540,5
42101,90,1072,7
44007,90,214,0
47037,90,443,3
47157,90,396,1
48113,90,549,11
48201,90,563,7
48453,90,206,2
49035,90,363,0
51059,90,225,2
53033,90,2332,152
53053,90,353,6
53061,90,1126,30
55079,90,663,10
01073,91,282,0
04013,91,791,8
04019,91,202,6
06001,91,334,7
06013,91,222,3
06037,91,3011,54
06059,91,502,7
06065,91,371,13
06067,91,224,7
06073,91,734,9
06075,91,400,6
06081,91,309,10
06085,91,890,31
08005,91,350,6
08031,91,539,7
08037,91,227,4
08041,91,286,13
08059,91,304,6
08123,91,255,12
09001,91,1870,38
09003,91,393,7
09009,91,517,12
11001,91,495,9
12011,91,1219,12
12031,91,207,4
12057,91,305,3
12071,91,206,8
12086,91,2123,7
12095,91,373,4
12099,91,551,14
13067,91,287,13
13089,91,360,4
13095,91,466,26
13121,91,599,18
13135,91,242,2
17031,91,4496,61
17043,91,356,10
17097,91,389,7
17197,91,228,8
18097,91,965,18
22017,91,242,7
22033,91,228,9
22051,91,1193,57
22071,91,1834,101
22103,91,220,4
24005,91,227,1
24031,91,388,1
24033,91,341,7
25005,91,306,2
25009,91,784,13
25013,91,354,12
25017,91,1340,18
25021,91,738,13
25023,91,459,2
25025,91,1373,8
25027,91,433,8
26099,91,853,38
26125,91,1620,75
26161,91,311,7
26163,91,3735,120
27053,91,204,6
29189,91,492,3
32003,91,869,23
34003,91,2909,53
34005,91,202,5
34007,91,228,3
34013,91,1900,47
34017,91,1606,16
34021,91,268,1
34023,91,1277,24
34025,91,1140,21
34027,91,841,21
34029,91,1022,18
34031,91,1294,11
34035,91,413,14
34039,91,1418,24
36001,91,226,1
36027,91,484,4
36029,91,438,8
36055,91,300,9
36059,91,8544,63
36071,91,1560,3
36087,91,2863,8
36103,91,6713,53
36111,91,215,3
36119,91,9967,25
37119,91,420,1
39035,91,527,6
39049,91,325,3
42003,91,325,2
42017,91,319,6
42045,91,338,6
42077,91,272,4
42079,91,212,4
42089,91,236,7
42091,91,570,6
42095,91,245,5
42101,91,1315,14
44007,91,305,0
47037,91,541,3
47157,91,396,1
48029,91,207,9
48113,91,631,13
48121,91,206,4
48201,91,680,6
48453,91,206,2
49035,91,396,0
51059,91,244,2
53033,91,2332,152
53053,91,353,6
53061,91,1228,32
55079,91,674,11
01073,92,305,4
04013,92,871,8
04019,92,217,10
06001,92,380,8
06013,92,250,3
06037,92,3518,65
06059,92,606,10
06065,92,371,13
06067,92,314,9
06071,92,254,6
06073,92,849,15
06075,92,437,7
06081,92,388,10
06085,92,956,33
08001,92,214,6
08005,92,381,7
08031,92,586,8
08037,92,295,4
08041,92,314,14
08059,92,356,7
08123,92,293,13
09001,92,1986,46
09003,92,469,11
09009,92,611,15
10003,92,226,6
11001,92,586,11
12011,92,1348,13
12031,92,239,4
12057,92,362,3
12071,92,235,10
12086,92,2415,11
12095,92,458,3
12099,92,616,22
12103,92,233,5
13067,92,304,15
13089,92,360,4
13095,92,490,29
13121,92,638,20
13135,92,257,6
16001,92,226,3
16013,92,265,2
17031,92,5152,95
17043,92,392,12
17097,92,477,7
17197,92,322,9
18097,92,1119,23
21111,92,221,8
22017,92,298,7
22033,92,244,10
22051,92,1433,64
22071,92,2270,115
22103,92,270,6
24005,92,289,1
24031,92,447,1
24033,92,403,7
25001,92,255,3
25005,92,366,3
25009,92,885,18
25013,92,475,17
25017,92,1582,21
25021,92,829,16
25023,92,561,5
25025,92,1624,15
25027,92,563,10
26049,92,249,8
26099,92,1088,51
26125,92,1910,99
26161,92,401,8
26163,92,4470,146
27053,92,218,6
29189,92,492,3
32003,92,961,28
34003,92,3494,75
34005,92,255,5
34007,92,289,3
34013,92,2262,69
34017,92,1910,29
34021,92,333,3
34023,92,1493,27
34025,92,1301,24
34027,92,942,25
34029,92,1209,23
34031,92,1494,15
34035,92,472,15
34039,92,1661,29
36001,92,240,2
36027,92,547,5
36029,92,553,12
36055,92,349,9
36059,92,9555,76
36067,92,249,1
36071,92,1756,25
36079,92,207,0
36087,92,3321,29
36103,92,7605,69
36111,92,222,3
36119,92,10683,25
37119,92,444,2
39035,92,589,9
39049,92,391,4
42003,92,356,2
42017,92,319,6
42045,92,390,7
42077,92,374,5
42079,92,282,4
42089,92,278,8
42091,92,649,8
42095,92,312,5
42101,92,1478,14
44007,92,391,3
47037,92,673,4
47157,92,496,3
47165,92,201,7
48029,92,229,9
48113,92,731,15
48121,92,231,4
48201,92,847,6
48439,92,288,3
48453,92,244,2
49035,92,444,1
51059,92,288,5
53033,92,2498,166
53053,92,424,7
53061,92,1304,39
55025,92,215,2
55079,92,780,16
01073,93,332,5
04013,93,961,12
04019,93,237,11
06001,93,417,9
06013,93,276,3
06037,93,4045,78
06059,93,656,13
06065,93,493,14
06067,93,340,9
06071,93,304,8
06073,93,966,16
06075,93,450,7
06081,93,453,10
06085,93,1019,37
08001,93,260,7
08005,93,441,10
08031,93,643,11
08037,93,314,4
