name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99
033.msy4.communique.net,1,55191.5,55191.5,55191.5,1826660352,1826660352,1826660352,110383,110383,110383,55191.5,1826660352,110383,55191.5,1826660352,110383,55191.5,1826660352,110383,55191.5,1826660352,110383,55191.5,1826660352,110383,55191.5,1826660352,110383,55191.5,55191.5,55191.5,1826660352,1826660352,1826660352,110383,110383,110383,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,55191.5,1826660352,110383,2,2,2,2
04-dynamic-c.rotterdam.luna.net,1,6773.684211,6773.684211,6773.684211,8673159399159123312846590820326625765037586535852196495953510793216,8673159399159123312846590820326625765037586535852196495953510793216,8673159399159123312846590820326625765037586535852196495953510793216,128700,128700,128700,8235.733333,16785546943994456148198889607738288890929203775461654528,123536,5064567.8,8673159399159123312846590820326625765037586535852196495953510793216,75968517,8580,201426563327933517334529641172982790003100196571870920704,128700,6773.684211,8673159399159123312846590820326625765037586535852196495953510793216,128700,6773.684211,8673159399159123312846590820326625765037586535852196495953510793216,128700,6773.684211,8673159399159123312846590820326625765037586535852196495953510793216,128700,6773.684211,6773.684211,6773.684211,8673159399159123312846590820326625765037586535852196495953510793216,8673159399159123312846590820326625765037586535852196495953510793216,8673159399159123312846590820326625765037586535852196495953510793216,128700,128700,128700,19,19,19,19,19,19,19,19,19,19,19,19,1.266667,12,19,1.266667,12,19,1.266667,12,19,1.266667,12,19,1,1,19,1,1,19,1,1,19,1,1,19,19,19,19,19,19,19,19,19,19,19,19,19,1,15,1,19,1,15,1,19,6773.684211,8673159399159123312846590820326625765037586535852196495953510793216,128700,19,19,19,19
04-dynamic-c.wokingham.luna.net,1,7617.063333,31918828.673333,15234.126667,46061347272749993623999441128497742397659223776229896289402237244714793220342957726121328640,172119578442927023502880078398149785943921411883426832448152868116995483647110319879441155102460265466519617536,92122694545499987247998882256995484795318447552459792578804474489429586440685915452242657280,166599,4787824301,333198,12192.37037,1655341915149758242812035392404087729964550805630574667397867128144607614203386311056208499486752768,329194,2748067.592593,172119578442926990128082642133929748521707252984175041780894706294295953224585197657257939779951671357737009152,74197825,12340.666667,19864102981797102799082209160307194598498423314604709293588083642014333874065455210483072404258029568,333198,12963.04,545620377744152897421163601216567916876365326365546419519520067074934250556652771746215100416,324076,1497056.32,172119578442927023502880078398149785943921411883426832448152868116995483647110319879441155102460265466519617536,37426408,13327.92,34919704175625785434954470477860346680087380887394970849249284292795792035625777391757766426624,333198,10748.322581,10748.322581,10748.322581,172119578442927023502880078398149785943921411883426832448152868116995483647110319879441155102460265466519617536,172119578442927023502880078398149785943921411883426832448152868116995483647110319879441155102460265466519617536,172119578442927023502880078398149785943921411883426832448152868116995483647110319879441155102460265466519617536,333198,333198,333198,15.5,150,31,15.5,150,31,15.5,150,31,15.5,150,31,1.148148,12,31,1.148148,12,31,1.148148,12,31,1.148148,12,31,1.24,64,31,1.24,64,31,1.24,64,31,1.24,64,31,31,31,31,31,31,31,31,31,31,31,31,31,2,27,1,25,2,27,1,25,10748.322581,172119578442927023502880078398149785943921411883426832448152868116995483647110319879441155102460265466519617536,333198,31,31,31,31
049.215.goodnet.com,1,4234.333333,4234.333333,4234.333333,195570024378032488448,195570024378032488448,195570024378032488448,25406,25406,25406,5742,147668306292585,22968,744055.75,195570024378032488448,2976223,6351.5,590673225170340,25406,4234.333333,195570024378032488448,25406,4234.333333,195570024378032488448,25406,4234.333333,195570024378032488448,25406,4234.333333,4234.333333,4234.333333,195570024378032488448,195570024378032488448,195570024378032488448,25406,25406,25406,6,6,6,6,6,6,6,6,6,6,6,6,1.5,4,6,1.5,4,6,1.5,4,6,1.5,4,6,1,1,6,1,1,6,1,1,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1,4,1,6,1,4,1,6,4234.333333,195570024378032488448,25406,6,6,6,6
05-dynamic-c.rotterdam.luna.net,1,7831.691667,43721494.7,15663.383333,579304126051499,0,1158608252102998,81258.5,2623289682,162517,11534.357143,0,161481,49780.785714,0,696931,11608.357143,0,162517,12813.727273,0,140951,19676375.727273,0,216440133,14774.272727,0,162517,9559.823529,9559.823529,9559.823529,0,0,0,162517,162517,162517,8.5,60,17,8.5,60,17,8.5,60,17,8.5,60,17,1.214286,8,17,1.214286,8,17,1.214286,8,17,1.214286,8,17,1.545455,48,17,1.545455,48,17,1.545455,48,17,1.545455,48,17,17,17,17,17,17,17,17,17,17,17,17,17,2,14,1,11,2,14,1,11,9559.823529,0,162517,17,17,17,17
05-dynamic-c.wokingham.luna.net,1,11202.2975,120543413.82,22404.595,24740237603778712397281572515615576880820586873971805200305804342855888959477298023628800,37767488436674515224991568091200594701164788427652783631547331713759167894431552433808887661089078658189221339070464,49480475207557424794563145031231153761641173747943610400611608685711777918954596047257600,203745.5,24108682764,407491,16063.88,2377821624168698676755947186678217862478692274168025419729427489795439359259968472848349003776,401597,1789458210.68,37767488436674506475988668959152897211155879957167322218869608140909422191349126793996890863585385764136513246855168,44736455267,16299.64,228270875920195147075508041803473985883384863880391466386815225030323163741810738457844473921536,407491,14707.05,3475356966860865447110474429966435490376522319204132636919763387226783744,294141,4907916413685.450195,37767488436674506475988668959152897211155879957167322218869608140909422191349126793996890863585385764136513246855168,98158328273709,20374.55,6005416838735576044991852529009907744920099809859385813604630245962919444480,407491,12348.212121,12348.212121,12348.212121,37767488436674502101487219393129048466151425721924591512530746354484549339807913974090892464833539317110159200747520,37767488436674502101487219393129048466151425721924591512530746354484549339807913974090892464833539317110159200747520,37767488436674502101487219393129048466151425721924591512530746354484549339807913974090892464833539317110159200747520,407491,407491,407491,16.5,200,33,16.5,200,33,16.5,200,33,16.5,200,33,1.32,96,33,1.32,96,33,1.32,96,33,1.32,96,33,1.65,1728,33,1.65,1728,33,1.65,1728,33,1.65,1728,33,33,33,33,33,33,33,33,33,33,33,33,33,2,25,1,20,2,25,1,20,12348.212121,37767488436674502101487219393129048466151425721924591512530746354484549339807913974090892464833539317110159200747520,407491,33,33,33,33
052.215.goodnet.com,1,7092.223958,29221833.619792,14184.447917,155882802544501863647347897925136077239557746381830294564920147618038354538637605853000106225197426243796992,579063754787806447118735756567019003698702035474116408118525776000349151221764581236198653195449207573642120959720990846222336,311765605089003727294695795850272154479115492763660589129840295236076709077275211706000212450394852487593984,194436,5610592055,388872,11606,3866050979476150046425737147904524284010377800220979812737632587721494089468937058990420741989850751945668558848,382998,6635694.363636,579063754787806672578823702855008881088839327250471036184050471199056739121697848328265064197859780088745965897516481911980032,218977914,11784,69588917630570673067831801690450365976904620199800146794118595942500884298899965372971138207490163236514903883776,388872,15423.25,71367569221349845079264238520653009764682761163896609999137020005746985374668816384,370158,3374208069693274100596736,579063754787806672578823702855008881088839327250471036184050471199056739121697848328265064197859780088745965897516481911980032,80980993672638578414321664,16203,54810293161996677570001761788579617781898429435359870253782745279220407186483539083264,388872,10233.473684,10233.473684,10233.473684,579063754787806597425461054092345588625460229991686160162208906132820876488386759297576260530389589250378017584917984890060800,579063754787806597425461054092345588625460229991686160162208906132820876488386759297576260530389589250378017584917984890060800,579063754787806597425461054092345588625460229991686160162208906132820876488386759297576260530389589250378017584917984890060800,388872,388872,388872,19,192,38,19,192,38,19,192,38,19,192,38,1.151515,18,38,1.151515,18,38,1.151515,18,38,1.151515,18,38,1.583333,768,38,1.583333,768,38,1.583333,768,38,1.583333,768,38,38,38,38,38,38,38,38,38,38,38,38,38,2,33,1,24,2,33,1,24,10233.473684,579063754787806597425461054092345588625460229991686160162208906132820876488386759297576260530389589250378017584917984890060800,388872,38,38,38,38
06-dynamic-c.rotterdam.luna.net,1,15221.845455,231434434.254545,30443.690909,72490126100172185988912611276385364738048,1910918620440121737625104948407663129659030809927061819416166084216004727013376,144980252200344371977825222552770729476096,159569.5,25457787768,319139,15197.095238,1910918620440121326248965618106152590916735170589435573732199675821038889861120,319139,15197.095238,1910918620440121326248965618106152590916735170589435573732199675821038889861120,319139,15197.095238,1910918620440121326248965618106152590916735170589435573732199675821038889861120,319139,14703.666667,10906895719149548222591414056440132352535324043512509066926738112512,264666,135406295.444444,1910918620440122149001244278709173668401326449264688065100132492610970564165632,2437313318,17729.944444,87255165753196385780731312451521058820282592348100072535413904900096,319139,15197.095238,15197.095238,15197.095238,1910918620440121737625104948407663129659030809927061819416166084216004727013376,1910918620440121737625104948407663129659030809927061819416166084216004727013376,1910918620440121737625104948407663129659030809927061819416166084216004727013376,319139,319139,319139,10.5,110,21,10.5,110,21,10.5,110,21,10.5,110,21,1,1,21,1,1,21,1,1,21,1,1,21,1.166667,8,21,1.166667,8,21,1.166667,8,21,1.166667,8,21,21,21,21,21,21,21,21,21,21,21,21,21,2,21,1,18,2,21,1,18,15197.095238,1910918620440121737625104948407663129659030809927061819416166084216004727013376,319139,21,21,21,21
07-dynamic-c.rotterdam.luna.net,1,3305.5,3305.5,3305.5,14599494937440,14599494937440,14599494937440,13222,13222,13222,4075.666667,15350123700,12227,319192,14599494937440,957576,4407.333333,30700247400,13222,3305.5,14599494937440,13222,3305.5,14599494937440,13222,3305.5,14599494937440,13222,3305.5,3305.5,3305.5,14599494937440,14599494937440,14599494937440,13222,13222,13222,4,4,4,4,4,4,4,4,4,4,4,4,1.333333,2,4,1.333333,2,4,1.333333,2,4,1.333333,2,4,1,1,4,1,1,4,1,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,1,4,1,3,1,4,3305.5,14599494937440,13222,4,4,4,4
0772jela.jelke.rpslmc.edu,1,880.333333,880.333333,880.333333,616069944,616069944,616069944,2641,2641,2641,823,647745,1646,473497.5,616069944,946995,1320.5,1295490,2641,880.333333,616069944,2641,880.333333,616069944,2641,880.333333,616069944,2641,880.333333,880.333333,880.333333,616069944,616069944,616069944,2641,2641,2641,3,3,3,3,3,3,3,3,3,3,3,3,1.5,2,3,1.5,2,3,1.5,2,3,1.5,2,3,1,1,3,1,1,3,1,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,3,1,2,1,3,880.333333,616069944,2641,3,3,3,3
