name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
206dos109.flint.umich.edu,32093228278764952461848214167657486573722025581656097300278416629890547712,6342,5492.125,0,175748,32,32,32,32,32
206dos110.flint.umich.edu,389238302031137406976,1746,38686.555556,592110972628751673451061433109433024512,348179,9,9,9,9,9
206dos111.flint.umich.edu,144215816802121,1374,13686,169181729222764038979584,82116,6,6,6,6,6
206dos119.flint.umich.edu,2331210544293980520328952933878015815806691536134391638041400699775915585393257594013589199388672,8274,4318.5,0,181377,42,42,42,42,42
210cc-mac-7.cl.msu.edu,198,198,90755,90755,90755,1,1,1,1,1
210ws01.rwc.uc.edu,16180768186205512235034716506207956003454976,3572,4902.789474,425319887606678014745892829490029077519251322793600123814541262848,93153,19,19,19,19,19
212-15.public.oberlin.edu,41998948952729736,1659,19455.428571,195826790095222102833496064,136188,7,7,7,7,7
214bessey-mac-24.cl.msu.edu,8998912,624,10320.333333,25872363315,30961,3,3,3,3,3
214bessey-mac-4.cl.msu.edu,1836036801,828,17483.75,1739677907631690,69935,4,4,4,4,4
218south.admin.unc.edu,27996635137088779843963037354439999488,3504,8123.375,43583713506156526784326257916507332269329853080078137688064,129974,16,16,16,16,16
22.dn258-lab.marist.edu,260919263232,960,15676.2,2254286583758396928,78381,5,5,5,5,5
225nu9.unl.edu,7050287992278341632,1816,4255.875,3646735182429809342343544832,34047,8,8,8,8,8
226.186.med.umich.edu,182225556172186067107610909824544852148224,3528,2734.222222,2931772906252510625327431639533987152655209435404441747456,49216,18,18,18,18,18
227.78.med.umich.edu,1121513121,732,11571.25,152016299660400,46285,4,4,4,4,4
238.233.med.umich.edu,3242931408352296960,1648,2357.375,15746210006086301564010496,18859,8,8,8,8,8
239.73.med.umich.edu,2362226417735475200,1584,2135.5,1987459251217517766508544,17084,8,8,8,8,8
23lrc05.uwsp.edu,2385443281,884,18132.25,1777045808585040,72529,4,4,4,4,4
28-105.univrel.calpoly.edu,3041984419006636577485095503092277306053361664,3760,3153.9,2170645163688974493813323526978571587086260162755023421342482432,63078,20,20,20,20,20
29.86.med.umich.edu,52289689788971833360384,1870,34076.2,225746462593298486261892493978107904,340762,10,10,10,10,10
3066-7.usi.edu,1023490369077469249536,1944,4076.222222,228212767514091193958060261376,36686,9,9,9,9,9
31.183.med.umich.edu,64499341732433847150111063277568,2621,20397.5,0,285565,14,14,14,14,14
31.75.med.umich.edu,1495315559180183552,1496,9187.625,0,73501,8,8,8,8,8
