name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
pm2-23.magicnet.net,6,6,6,6,6,6,238,238,238,238,238,238,12560,12560,12560,12560,12560,12560
pm2-25.magicnet.net,18,18,18,18,18,18,194,194,194,194,194,194,1157,1157,1157,1157,1157,1157
pm2-26.tricon.net,16,16,16,16,16,16,228,228,228,228,228,228,363,363,363,363,363,363
pm2-43.tvs.net,12,12,12,12,12,12,219,219,219,219,219,219,8529,8529,8529,8529,8529,8529
pm2-orl10.iag.net,14,14,14,14,14,14,228,228,228,228,228,228,669,669,669,669,669,669
pm2_1.digital.net,14,14,13.5,14,182,27,186,188,187,188,34968,374,786,786,786,786,617796,1572
pm2_13.digital.net,17,17,17,17,17,17,183,183,183,183,183,183,1204,1204,1204,1204,1204,1204
pm2_14.digital.net,3,19,11,19,57,22,193,195,194,195,37635,388,0,0,0,0,0,0
pm2_15.digital.net,4,4,4,4,4,4,195,195,195,195,195,195,0,0,0,0,0,0
pm2_17.digital.net,15,15,15,15,15,15,241,241,241,241,241,241,669,669,669,669,669,669
pm2_18.digital.net,18,18,14.5,18,198,29,203,207,205,207,42021,410,1173,1173,586.5,1173,0,1173
pm2_19.digital.net,2,2,2,2,2,2,240,240,240,240,240,240,786,786,786,786,786,786
pm2_2.digital.net,9,9,9,9,9,9,215,215,215,215,215,215,308,308,308,308,308,308
pm2_23.digital.net,9,9,9,9,9,9,215,215,215,215,215,215,0,0,0,0,0,0
pm2_24.digital.net,18,18,18,18,18,18,186,186,186,186,186,186,0,0,0,0,0,0
pm2_26.digital.net,16,16,16,16,16,16,208,208,208,208,208,208,509,509,509,509,509,509
pm2_29.digital.net,10,10,10,10,10,10,190,190,190,190,190,190,0,0,0,0,0,0
pm2_3.digital.net,6,9,7.5,9,54,15,195,241,218,241,46995,436,669,786,727.5,786,525834,1455
pm2_7.digital.net,6,6,6,6,6,6,206,206,206,206,206,206,0,0,0,0,0,0
pm3-20.magicnet.net,17,17,17,17,17,17,209,209,209,209,209,209,786,786,786,786,786,786
pm3_2.digital.net,13,13,13,13,13,13,196,196,196,196,196,196,2167,2167,2167,2167,2167,2167
pm3_23.digital.net,16,16,16,16,16,16,243,243,243,243,243,243,669,669,669,669,669,669
pm4-119.skypoint.net,12,12,12,12,12,12,239,239,239,239,239,239,8529,8529,8529,8529,8529,8529
pm4_3.digital.net,19,19,19,19,19,19,185,185,185,185,185,185,2537,2537,2537,2537,2537,2537
pm4_8.digital.net,15,15,15,15,15,15,243,243,243,243,243,243,8529,8529,8529,8529,8529,8529
pm56.csra.net,15,15,15,15,15,15,229,229,229,229,229,229,4441,4441,4441,4441,4441,4441
pm66-52.smartlink.net,18,18,18,18,18,18,186,186,186,186,186,186,13469,13469,13469,13469,13469,13469
pm69.smartlink.net,20,20,20,20,20,20,200,200,200,200,200,200,669,669,669,669,669,669
pmcol15.ebicom.net,3,3,3,3,3,3,237,237,237,237,237,237,651,651,651,651,651,651
pnp.delta.net,11,11,11,11,11,11,234,234,234,234,234,234,1204,1204,1204,1204,1204,1204
pool1_12.odyssee.net,20,20,20,20,400,40,187,187,187,187,34969,374,3258,3258,1892.5,3258,1716966,3785
pool1_14.odyssee.net,12,12,12,12,12,12,234,234,234,234,234,234,3635,3635,3635,3635,3635,3635
pool3_10.odyssee.net,12,12,12,12,144,24,236,236,236,236,55696,472,12560,12560,6866.5,12560,14732880,13733
pool3_6.odyssee.net,12,12,12,12,12,12,235,235,235,235,235,235,8677,8677,8677,8677,8677,8677
pool56.maple.net,16,16,16,16,16,16,202,202,202,202,202,202,57344,57344,57344,57344,57344,57344
port-1-4.access.one.net,21,21,21,21,21,21,203,203,203,203,203,203,4324,4324,4324,4324,4324,4324
port1.csnet.net,21,21,21,21,21,21,237,237,237,237,237,237,25218,25218,25218,25218,25218,25218
port119.iwaynet.net,6,6,6,6,6,6,198,198,198,198,198,198,363,363,363,363,363,363
port15.cos2-annex.usa.net,8,8,8,8,8,8,243,243,243,243,243,243,3709,3709,3709,3709,3709,3709
port19.annex1.naples.net,10,10,10,10,10,10,243,243,243,243,243,243,11853,11853,11853,11853,11853,11853
port19.fishnet.net,20,20,20,20,20,20,240,240,240,240,240,240,234,234,234,234,234,234
port5.mhill.ind.net,20,20,20,20,20,20,230,230,230,230,230,230,786,786,786,786,786,786
port5.xyplex-1.bihs.net,18,18,18,18,18,18,200,200,200,200,200,200,12283,12283,12283,12283,12283,12283
porta12.chattanooga.net,22,22,22,22,22,22,235,235,235,235,235,235,4745,4745,4745,4745,4745,4745
ppp-2-15.iadfw.net,14,14,14,14,14,14,185,185,185,185,185,185,3214,3214,3214,3214,3214,3214
ppp-3-30.iadfw.net,22,22,22,22,22,22,184,184,184,184,184,184,1157,1157,1157,1157,1157,1157
ppp-ftl1-74.shadow.net,11,11,11,11,11,11,204,204,204,204,204,204,786,786,786,786,786,786
ppp-ftl2-15.shadow.net,21,21,20.5,21,420,41,184,193,188.5,193,35512,377,308,1136,722,1136,349888,1444
